departamento,codigodanedepartamento,municipio,codigodanemunicipio,anio,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje
META,50,MESETAS,50330,2016,12,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
META,50,VISTAHERMOSA,50711,2018,11,Comunidades,0,2,0,2,4,THE HALO TRUST,1,0,0
TOLIMA,73,PLANADAS,73555,2018,5,Comunidades,0,0,0,4,4,THE HALO TRUST,3,0,0
ANTIOQUIA,5,GRANADA,5313,2016,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
META,50,GUAMAL,50318,2017,7,Comunidades,0,0,0,0,0,BRDEH,1,0,0
CUNDINAMARCA,25,VERGARA,25862,2018,5,Comunidades,0,0,0,0,0,BRDEH,1,0,0
ANTIOQUIA,5,GRANADA,5313,2012,11,Comunidades,1495,6,1,0,7,BRDEH,2,1,1
VALLE DEL CAUCA,76,CALIMA,76126,2019,4,Comunidades,0,0,0,0,0,BRDEH,2,0,0
BOLIVAR,13,ZAMBRANO,13894,2014,3,Comunidades,469,0,0,0,0,BRDEH,0,0,1
TOLIMA,73,CAJAMARCA,73124,2019,4,Comunidades,0,0,0,0,0,BRDEH,5,0,0
META,50,EL DORADO,50270,2010,6,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SONSON,5756,2015,8,Comunidades,6725,3,0,0,3,THE HALO TRUST,13,2,2
CAUCA,19,CALOTO,19142,2018,11,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
RISARALDA,66,SANTUARIO,66687,2018,8,Comunidades,0,0,0,0,0,BRDEH,10,0,0
HUILA,41,NEIVA,41001,2019,7,Comunidades,0,0,0,0,0,BRDEH,1,0,0
SANTANDER,68,EL CARMEN,68235,2015,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CALDAS,17,SAMANA,17662,2012,10,Comunidades,994,0,0,0,0,BRDEH,8,2,0
SANTANDER,68,EL CARMEN,68235,2016,4,Comunidades,1156,0,0,0,0,BRDEH,0,0,1
ANTIOQUIA,5,SAN LUIS,5660,2017,9,Comunidades,2400,0,0,0,0,BRDEH,3,0,1
TOLIMA,73,RIOBLANCO,73616,2018,1,Comunidades,1075,0,0,0,0,THE HALO TRUST,0,0,1
CAQUETA,18,FLORENCIA,18001,2019,6,Comunidades,4709,2,0,0,2,BRDEH,2,0,1
ANTIOQUIA,5,COCORNA,5197,2016,4,Comunidades,0,0,0,0,0,BRDEH,1,0,0
VALLE DEL CAUCA,76,FLORIDA,76275,2018,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CAQUETA,18,SAN JOSE DEL FRAGUA,18610,2017,9,Comunidades,0,0,0,0,0,BRDEH,6,0,0
BOLIVAR,13,SAN JUAN NEPOMUCENO,13657,2016,9,Comunidades,0,0,0,0,0,ARMADA NACIONAL,6,0,0
PUTUMAYO,86,PUERTO ASIS,86568,2018,11,Comunidades,599,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,1
ANTIOQUIA,5,CARACOLI,5142,2018,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0
PUTUMAYO,86,VALLE DEL GUAMUEZ,86865,2017,10,Comunidades,0,0,0,0,0,BRDEH,3,0,0
CALDAS,17,SAMANA,17662,2016,9,Comunidades,9863,0,0,0,0,BRDEH,2,2,0
CALDAS,17,SAMANA,17662,2018,11,Comunidades,4019,2,0,0,2,BRDEH,0,0,1
SANTANDER,68,EL CARMEN,68235,2015,2,Comunidades,0,1,0,0,1,BRDEH,4,0,0
SANTANDER,68,SABANA DE TORRES,68655,2017,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CUNDINAMARCA,25,LA PALMA,25394,2018,11,Comunidades,0,0,0,0,0,BRDEH,1,0,0
CALDAS,17,PENSILVANIA,17541,2018,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SONSON,5756,2018,9,Comunidades,0,0,1,0,1,THE HALO TRUST,2,0,0
ANTIOQUIA,5,CARMEN DE VIBORAL,5148,2018,4,Comunidades,0,0,0,0,0,THE HALO TRUST,2,0,0
META,50,EL CASTILLO,50251,2018,10,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,2,0,0
META,50,VISTAHERMOSA,50711,2010,3,Comunidades,904,0,0,0,0,BRDEH,0,1,0
ANTIOQUIA,5,GRANADA,5313,2016,12,Comunidades,3104,0,0,0,0,BRDEH,1,0,1
CALDAS,17,SAMANA,17662,2019,5,Comunidades,7390,0,0,0,0,BRDEH,0,1,1
CALDAS,17,SAMANA,17662,2017,4,Comunidades,30492,2,0,0,2,BRDEH,8,3,0
CAUCA,19,EL TAMBO,19256,2009,7,Bases Militares,0,0,0,0,0,BRDEH,0,0,0
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,2013,9,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,PIEDECUESTA,68547,2018,10,Comunidades,0,0,2,0,2,BRDEH,5,0,0
CALDAS,17,SAMANA,17662,2017,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
PUTUMAYO,86,SAN MIGUEL,86757,2018,7,Comunidades,0,0,0,0,0,THE HALO TRUST,4,0,0
VALLE DEL CAUCA,76,PRADERA,76563,2018,9,Comunidades,8292,0,0,0,0,BRDEH,0,0,1
TOLIMA,73,ROVIRA,73624,2018,11,Comunidades,0,0,0,0,0,BRDEH,1,0,0
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,2014,5,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2011,2,Comunidades,2258,0,0,0,0,BRDEH,0,1,0
CAQUETA,18,MONTANITA,18410,2018,7,Comunidades,13160,1,0,0,1,BRDEH,0,3,1
CAQUETA,18,PUERTO RICO,18592,2018,4,Comunidades,14885,0,0,0,0,BRDEH,2,1,0
SANTANDER,68,EL CARMEN,68235,2011,6,Comunidades,4514,3,1,0,4,BRDEH,2,2,2
SANTANDER,68,SAN VICENTE DE CHUCURI,68689,2011,8,Comunidades,0,0,0,0,0,BRDEH,1,0,0
SANTANDER,68,SAN VICENTE DE CHUCURI,68689,2015,3,Comunidades,1534,0,0,0,0,BRDEH,0,1,0
CAUCA,19,BALBOA,19075,2018,8,Comunidades,0,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,1,0,0
META,50,EL DORADO,50270,2011,10,Comunidades,4463,1,0,0,1,BRDEH,19,2,0
CALDAS,17,SAMANA,17662,2014,9,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SUCRE,70,CHALAN,70230,2016,11,Comunidades,0,0,0,0,0,ARMADA NACIONAL,1,0,0
CAQUETA,18,MONTANITA,18410,2017,8,Comunidades,0,0,0,0,0,BRDEH,0,0,0
HUILA,41,BARAYA,41078,2017,10,Comunidades,0,0,0,0,0,BRDEH,2,0,0
PUTUMAYO,86,PUERTO CAICEDO,86569,2019,6,Comunidades,0,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,0
MAGDALENA,47,PLATO,47555,2018,9,Comunidades,0,0,0,0,0,BRDEH,1,0,0
VALLE DEL CAUCA,76,PRADERA,76563,2017,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SAN VICENTE,5674,2018,3,Comunidades,0,0,0,0,0,BRDEH,3,0,0
CAQUETA,18,VALPARAISO,18860,2018,6,Comunidades,0,0,0,0,0,BRDEH,21,0,0
META,50,VISTAHERMOSA,50711,2018,6,Comunidades,1762,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,1
ANTIOQUIA,5,SAN FRANCISCO,5652,2012,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,EL CARMEN,68235,2016,5,Comunidades,3464,1,0,0,1,BRDEH,2,1,1
ANTIOQUIA,5,ALEJANDRIA,5021,2019,7,Comunidades,0,0,0,0,0,BRDEH,1,0,0
MAGDALENA,47,ZONA BANANERA,47980,2017,6,Comunidades,0,0,0,0,0,BRDEH,1,0,0
TOLIMA,73,CHAPARRAL,73168,2017,2,Comunidades,0,0,0,0,0,BRDEH,2,0,0
CAUCA,19,CAJIBIO,19130,2017,6,Comunidades,0,0,0,0,0,HANDICAP INTERNATIONAL,0,0,0
ANTIOQUIA,5,GRANADA,5313,2013,3,Comunidades,2902,1,0,0,1,BRDEH,4,1,2
META,50,VISTAHERMOSA,50711,2016,11,Comunidades,0,0,0,0,0,BRDEH,1,0,0
ANTIOQUIA,5,SAN LUIS,5660,2017,10,Comunidades,0,0,0,0,0,BRDEH,1,0,0
SANTANDER,68,SURATA,68780,2018,3,Comunidades,0,0,0,0,0,BRDEH,2,0,0
BOLIVAR,13,ZAMBRANO,13894,2015,11,Comunidades,0,0,0,0,0,ARMADA NACIONAL,0,0,0
ANTIOQUIA,5,BRICENO,5107,2016,6,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,6,0,0
SANTANDER,68,EL CARMEN,68235,2013,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SANTO DOMINGO,5690,2017,10,Comunidades,0,0,0,0,0,BRDEH,1,0,0
CUNDINAMARCA,25,QUEBRADANEGRA,25592,2018,1,Comunidades,0,0,0,0,0,BRDEH,2,0,0
META,50,VISTAHERMOSA,50711,2010,11,Comunidades,2635,0,3,0,3,BRDEH,0,1,1
META,50,SAN JUAN DE ARAMA,50683,2018,11,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,0,0,0
SANTANDER,68,EL CARMEN,68235,2014,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SABANALARGA,5628,2017,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
PUTUMAYO,86,ORITO,86320,2018,6,Comunidades,2196,0,0,0,0,BRDEH,2,1,0
META,50,VISTAHERMOSA,50711,2019,6,Comunidades,0,0,0,0,0,BRDEH,0,0,0
META,50,EL CASTILLO,50251,2018,9,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,7,0,0
ANTIOQUIA,5,ITUANGO,5361,2018,8,Comunidades,24333,0,0,0,0,BRDEH,0,3,0
TOLIMA,73,CHAPARRAL,73168,2018,5,Comunidades,10983,0,0,0,0,THE HALO TRUST,0,0,2
ANTIOQUIA,5,ITUANGO,5361,2018,5,Comunidades,0,0,0,0,0,BRDEH,0,0,0
HUILA,41,NEIVA,41001,2007,1,Bases Militares,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,GRANADA,5313,2010,4,Comunidades,0,0,0,0,0,BRDEH,1,0,0
PUTUMAYO,86,PUERTO LEGUIZAMO,86573,2018,4,Comunidades,0,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,1,0,0
VALLE DEL CAUCA,76,EL CERRITO,76248,2017,12,Comunidades,0,0,0,0,0,BRDEH,4,0,0
CAQUETA,18,SAN VICENTE DEL CAGUAN,18753,2018,10,Comunidades,0,0,0,0,0,HANDICAP INTERNATIONAL,0,0,0
CESAR,20,PUEBLO BELLO,20570,2018,10,Comunidades,0,0,0,0,0,BRDEH,3,0,0
ANTIOQUIA,5,SAN CARLOS,5649,2013,5,Comunidades,0,0,0,0,0,BRDEH,4,0,0
SUCRE,70,COLOSO,70204,2016,6,Comunidades,0,0,0,0,0,ARMADA NACIONAL,1,0,0
META,50,VISTAHERMOSA,50711,2009,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
META,50,SAN JUAN DE ARAMA,50683,2016,8,Comunidades,0,0,0,0,0,THE HALO TRUST,3,0,0
ANTIOQUIA,5,SONSON,5756,2015,9,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
TOLIMA,73,CHAPARRAL,73168,2017,8,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
CALDAS,17,SAMANA,17662,2017,5,Comunidades,15429,5,0,1,6,BRDEH,21,3,1
ANTIOQUIA,5,GRANADA,5313,2011,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SUCRE,70,CHALAN,70230,2017,3,Comunidades,0,0,0,0,0,ARMADA NACIONAL,1,0,0
ANTIOQUIA,5,ITUANGO,5361,2017,11,Comunidades,1122,3,0,0,3,BRDEH,0,0,1
TOLIMA,73,PLANADAS,73555,2019,7,Comunidades,475,0,0,0,0,THE HALO TRUST,0,0,1
HUILA,41,TELLO,41799,2018,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CAUCA,19,SUAREZ,19780,2018,5,Comunidades,0,0,0,0,0,BRDEH,1,0,0
SANTANDER,68,SABANA DE TORRES,68655,2016,9,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SONSON,5756,2015,6,Comunidades,304,0,0,0,0,THE HALO TRUST,11,0,1
META,50,VISTAHERMOSA,50711,2018,3,Comunidades,0,0,0,0,0,HANDICAP INTERNATIONAL,0,0,0
META,50,LEJANIAS,50400,2016,11,Comunidades,0,0,1,0,1,THE HALO TRUST,2,0,0
AMAZONAS,91,PUERTO NARINO,91540,2009,11,Bases Militares,1385,208,1,0,209,BRDEH,0,0,1
ANTIOQUIA,5,ITUANGO,5361,2018,5,Comunidades,9722,0,0,0,0,BRDEH,0,1,1
ANTIOQUIA,5,SAN LUIS,5660,2016,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,2016,9,Comunidades,0,0,0,0,0,ARMADA NACIONAL,0,0,0
PUTUMAYO,86,PUERTO ASIS,86568,2019,5,Comunidades,0,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,0
CAQUETA,18,FLORENCIA,18001,2017,7,Comunidades,13061,1,1,0,2,BRDEH,2,0,2
CAQUETA,18,SAN VICENTE DEL CAGUAN,18753,2017,4,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,SABANA DE TORRES,68655,2015,3,Comunidades,0,0,0,0,0,BRDEH,1,0,0
SANTANDER,68,EL CARMEN,68235,2016,8,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CAUCA,19,CALOTO,19142,2019,4,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
CASANARE,85,AGUAZUL,85010,2017,6,Comunidades,0,0,0,0,0,BRDEH,1,0,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2010,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0
